SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Experimental IC50 (log10),pdCSM-PPI
CSCC[C@H]1NC(=O)CSC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O)C(=O)O,timbal,-3.8454,9,9,10,1,620.711,7.55284196865778,8.21
CC1CC(C)CN(C1)C2CC(N(C2)S(=O)(=O)c3cccc(c3)C#N)C(=O)NC(Cc4ccc(NC(=O)c5c(Cl)cncc5Cl)cc4)C(=O)O,timbal,4.43398,7,4,10,5,727.671,9.85387196432176,8.32
Cc1cc(Cl)cc([C@@H](CC(=O)O)NC(=O)CNC(=O)c2cc(O)cc(NC3=NCC(O)CN3)c2)c1O,timbal,0.85362,7,8,8,3,519.942,6.16241156176449,7.32
NC(=N)NCCC[C@@H]1NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)CSC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O)C(=O)O,timbal,-4.42303,10,12,9,2,626.653,8.52287874528034,6.62
OC(=O)CC(NC(=O)C1CCCN(C1)C(=O)CCC2CCNCC2)c3cncc(c3)c4ccsc4,timbal,3.4605,5,4,9,4,498.649,8.69897000433602,9.04
Cc1ccccc1NC(=O)Nc2ccc(CC(=O)N3C[C@@H](F)C[C@H]3COc4ccc(cc4)C(=O)O)cc2C,timbal,5.20614,6,4,8,4,519.573,8.63827216398241,5.98
OC(=O)C[C@H](NC(=O)CN1CC[C@H](CCc2ccc3CCCNc3n2)C1=O)c4ccc5CCCc5c4,timbal,3.0417,5,4,9,5,490.604,7.53760200210104,7.61
COc1ccc(cc1)C2=C(C(=O)N(C)N=C2)c3ccc(C[C@H](NC(=O)c4c(Cl)cccc4Cl)C(=O)O)cc3,timbal,4.8554,6,2,8,4,552.414,6.46852108295774,7.47
COc1ccccc1c2ccc(C[C@H](NC(=O)C3(CCNCC3)c4cccnc4)C(=O)O)cc2,timbal,3.1905,5,3,8,4,459.546,7.08092190762393,7.7
COc1cccc(OC)c1c2ccc(C[C@H](NC(=O)[C@@]3(CCCCO)CCCO3)C(=O)O)cc2,timbal,3.1945,7,3,12,3,471.55,6.06048074738138,8.38
N[C@@H](Cc1ccccc1)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](CO)NC2=O)C(=O)O,timbal,-1.5263,7,7,6,3,553.663,5.82390874094432,6.31
CNC(=O)[C@H](Cc1ccc2ccccc2c1)N3CCC(=O)N(Cc4ccc(cc4)N(C)C)[C@@H](CC(C)C)C3=O,timbal,4.2387,3,3,9,4,528.697,6.09691001300806,5.77
NC(=N)NCCC[C@@H]1NC(=O)C[C@@H]2N(Cc3ccccc3)C(=O)[C@@H](CNC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O)N(Cc4ccccc4)C2=O,timbal,-1.86153,8,10,10,5,691.746,9.69897000433602,7.04
OC(=O)C[C@@H](NC(=O)CNC(=O)c1cc(O)cc(NC2=NCCCN2)c1)c3cc(Cl)cc(Br)c3O,timbal,2.3369,6,7,8,3,568.812,5.56224943717961,6.68
C[C@]1(CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)N[C@@H](Cc3ccccc3)C(=O)O,timbal,3.3487,5,2,7,3,485.389,5.4502612687351,6.68
NC(=N)NCCC[C@@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)C[S+]([O-])C[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O)C(=O)O,timbal,-4.42503,10,11,9,2,668.686,7.39794000867204,8.52
Cn1nc(CC(CC(=O)O)c2ccc3OCOc3c2)cc1OCCc4ccc5CCCNc5n4,timbal,3.3244,7,2,9,5,464.522,8.95860731484177,7.6
Cc1cc(C)c(c(C)c1)S(=O)(=O)N[C@@H](CNC(=O)CO[C@@H]2C[C@@H](CNc3ccccn3)N(C2)C(=O)OCc4ccccc4)C(=O)O,timbal,2.76296,9,5,14,4,653.758,8.43179827593301,7.19
CCCCC\N=C/1\C(\C(=C1O)O)=N\[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O,timbal,3.615,6,4,10,3,519.385,9,7.4
OC1CNC(=NC1)Nc2cncc(c2)C(=O)NCC(=O)N[C@H](CC(=O)O)c3cc(Br)cc(Cl)c3O,timbal,0.9971,7,7,8,3,569.8,9,8.62
CC(C)(C)OC(=O)N[C@@H](CCCCN)C(=O)N1CCCC(C1)C(=O)NCCCC(=O)O,timbal,1.2283,6,5,11,1,442.557,5.11918640771921,6.48
CCN(CC)c1nc(N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)nc(OC)n1,timbal,3.7883,8,3,11,3,534.404,5.79048498545737,7.77
COc1ccccc1c2ccc(C[C@H](NC(=O)[C@]3(CCCO3)c4ccc(Cl)cc4)C(=O)O)cc2,timbal,4.8334,5,2,8,4,479.96,8.38827669199266,8.12
COC1=C(C(=O)N(CCO)N=C1)c2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2,timbal,2.6437,7,3,9,3,506.342,6.88605664769316,7.79
CN(C)C(=O)Oc1ccc(C[C@H](Nc2nc(ncc2c3ccccc3C)N(C)C4CCC4)C(=O)O)cc1,timbal,4.60892,6,3,9,4,503.603,8,7.65
C[C@@H]1NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H]2CCCCN2C1=O)C(=O)O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)C,timbal,-0.2256,8,7,6,3,609.727,7.69897000433602,6.32
NC(=O)C1(CCCCC1)NC(=O)[C@@H](CCCC(=O)O)NC(=O)[C@@H](CCCCNC(=O)\C=C\c2cccnc2)NC(=O)c3cccc(Nc4nc5ccccc5[nH]4)c3,timbal,3.8439,9,9,20,5,779.899,6.73142202811716,8.09
CC[C@@H](C)[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)O)NC(=O)[C@@H](N)Cc2ccc(O)cc2,timbal,-0.2532,7,7,7,2,569.706,6.0268721464003,6.63
OC(=O)[C@H](CNC(=O)C1=NOC(CCCCNc2ncc[nH]2)C1)NS(=O)(=O)c3ccc(cc3)c4ccccc4,timbal,2.3517,7,6,14,4,554.629,6.61978875828839,7.26
OC(=O)C[C@H](NC(=O)CNC(=O)c1cccc(NC2=NCC(F)CN2)c1)c3cc(Cl)cc(Br)c3O,timbal,2.5793,6,6,8,3,570.803,9.69897000433602,8
COc1cc(CN2CCCC2)cc(OC)c1c3ccc(C[C@H](NC(=O)[C@]4(C)CCCN4S(=O)(=O)c5cc(Cl)cc(Cl)c5)C(=O)O)cc3,timbal,5.6287,7,3,12,5,704.673,10.0457574905607,7.81
CCN(CC)CCCNC(=O)c1cnn(c2nc(cs2)c3ccc(cc3)C(F)(F)F)c1C(F)(F)F,timbal,5.4951,3,2,9,3,519.515,4.39794000867204,5.62
Cc1cccc(c1)C(=O)N2CCc3c(C2)cc(Cl)c(C(=O)N[C@@H](CNC(=O)c4cccs4)C(=O)O)c3Cl,timbal,4.17482,5,4,7,4,560.459,7.04575749056068,7.09
CC(C)C[C@@H]1N([C@H](C)CCN([C@@H](Cc2ccc3ccccc3c2)C(=O)N)C1=O)C(=O)Cc4ccc5ccccc5c4,timbal,5.4962,3,3,8,5,549.715,5.69897000433602,5.54
CN(C)C(=O)Oc1ccc(C[C@H](Nc2ncncc2c3ccccc3F)C(=O)O)cc1,timbal,3.4509,7,3,7,3,424.432,7.74472749489669,7.5
OC(=O)C[C@@H](NC(=O)CNC(=O)c1cc(O)cc(NC2=NCC(F)CN2)c1)c3cc(Br)cc(Br)c3O,timbal,2.394,7,7,8,3,631.253,5.46597389394387,6.53
Cn1cc(C(=O)Nc2cc(F)c(CC(=O)N3CCC[C@H]3CO[C@@H]4CC[C@H](CC4)C(=O)O)cc2Cl)c5ccccc15,timbal,5.4166,6,3,8,5,570.061,6.43179827593301,7.06
COc1ccccc1c2ccc(C[C@H](NC(=O)C3(CCCCC3)S(=O)(=O)c4ccc(Cl)cc4)C(=O)O)cc2,timbal,5.3043,6,2,9,4,556.08,7.27572413039921,7.58
C[C@@H]1NC(=O)C[S+]([O-])C[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O)C(=O)O,timbal,-5.5631,9,9,7,1,576.589,8.79588001734408,7.46
COC(=O)N[C@@H](Cc1ccc(cc1)C2=C(OC)C=NN(C)C2=O)C(=O)O,timbal,0.8076,7,2,6,2,361.354,6.14874165128092,6.92
CC1N(C)C(=O)[C@@H](Cc2ccccc2)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CCCN=C(N)N)NC1=O,timbal,-2.8115,7,8,8,2,560.612,6.1791420105603,6.15
OC(=O)C[C@@H](NC(=O)[C@@H]1CCCN(C1)C(=O)CCC2CCNCC2)c3cccnc3,timbal,1.732,5,4,8,3,416.522,9.44369749923271,9.34
OC(=O)[C@@H]1CC[C@H](CC1)OC[C@@H]2C[C@H](F)CN2C(=O)Cc3ccc(Nc4oc5cc(F)ccc5n4)c(Cl)c3,timbal,5.5054,7,3,8,5,547.986,6.20065945054642,7.63
Cc1cc(cc(C)c1S(=O)(=O)N[C@@H](CNC(=O)C2=NOC(CCCCNc3ccccn3)C2)C(=O)O)c4ccccc4,timbal,3.64044,7,4,14,4,593.706,7.35654732351381,7.29
Cc1ccccc1NC(=O)Nc2ccc(CC(=O)N3CCCCC3C(=O)NCCCCC(=O)O)cc2,timbal,3.93372,5,5,10,3,494.592,7.49485002168009,7.18
COCCOCCOCCOCC(=O)Nc1cc(C[C@H](NS(=O)(=O)c2cccc(c2)C(F)(F)F)C(=O)O)ccc1OCCCc3ccc4CCCNc4n3,timbal,4.079,11,4,23,4,782.835,9.52287874528034,7.71
COc1ccccc1c2ccc(C[C@H](NC(=O)[C@@]3(C)CCCO3)C(=O)O)cc2,timbal,3.0432,5,2,7,3,383.444,7.34390179798717,8.3
CCCCOC(=O)N1C[C@]2(C[C@H]1CNc3ncc[nH]3)CC(=NO2)C(=O)NC[C@H](NS(=O)(=O)c4c(C)cc(C)cc4C)C(=O)O,timbal,1.82086,9,7,13,4,633.728,7.85387196432176,7.8
OC(=O)CC(Cc1onc(CCCc2ccc3CCCNc3n2)n1)c4cnc5ccccc5c4,timbal,4.3472,6,2,9,5,457.534,7.74472749489669,6.97
COc1cccc(OC)c1c2ccc(C[C@H](NC(=O)[C@@H]3CCCN3c4ccc(cc4)[N+](=O)[O-])C(=O)O)cc2,timbal,4.0599,5,2,10,4,519.554,8.95860731484177,7.29
Cc1cc(C)cc(c1)S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](CNC(=O)NCc3ccccc3)C(=O)O,timbal,1.52534,6,4,9,3,502.593,6.11350927482752,7.38
CC(C)C[C@H](NC(=O)Cc1ccc(NC(=O)c2ccccc2)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)O,timbal,2.1972,8,6,15,2,582.654,5.48811663902113,7
CC(C)CS(=O)(=O)c1nc(N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)cc(n1)C(=O)O,timbal,3.6664,10,4,11,3,596.449,7.52287874528034,7.42
Cc1ccc2c(c1)c(cn2S(=O)(=O)C)C(=O)NC[C@H](NC(=O)c3c(Cl)cc4CN(CCc4c3Cl)C(=O)c5ccc(Cl)cc5)C(=O)O,timbal,4.52912,7,4,8,5,706.004,4.95860731484177,7.66
NC(=N)NCCC[C@@H]1NC(=O)CNC(=O)C(SC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O)C(=O)O)c2ccc3ccccc3c2,timbal,-1.86293,9,10,8,3,672.721,7.93930215964639,6.97
Cc1ccnc(NCCCCOc2ccc(C[C@H](NS(=O)(=O)c3cccc(c3)C(F)(F)F)C(=O)O)cc2NC(=O)COCCOCCOCCOCCOCCOCCN)c1,timbal,3.65092,13,5,33,3,887.972,7.42021640338319,8.18
CCCCN(CCCC)C1=C(N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)C(=O)C1=O,timbal,4.7511,6,3,14,3,561.466,8.69897000433602,7.25
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]2CSSC[C@H](NC(=O)C3(CCCC3)CCNC2=O)C(=O)O,timbal,0.9553,7,6,6,3,566.702,7.92081875395238,5.81
COCCCN(CC(=O)N[C@@H](CC(=O)O)c1ccc(OC)c(OC)c1)C(=O)Cc2ccc(NC(=O)Nc3ccccc3C)cc2,timbal,4.39602,8,5,16,3,620.703,7.56383735295924,7.26
OC1CNC(=NC1)Nc2cncc(c2)C(=O)NCC(=O)N[C@H](CC(=O)O)c3cc(Cl)cc(I)c3O,timbal,0.8392,7,7,8,3,616.8,6.20620961530918,8.6
OC(=O)C[C@@H](NC(=O)CNC(=O)c1cc(O)cc(NC2=NCC(F)CN2)c1)c3cc(Cl)cc(Cl)c3O,timbal,2.1758,7,7,8,3,542.351,9,6.55
OC(=O)c1ccc(OC[C@@H]2C[C@H](F)CN2C(=O)Cc3ccc(NC(=O)Nc4ccccc4Br)c(Cl)c3)cc1,timbal,6.0052,6,4,8,4,604.86,8.76955107862173,7.05
OC(=O)[C@H](CNC(=O)c1ccc2c(cnn2CCCCNC3=NCCN3)c1)NC(=O)OCc4ccccc4,timbal,1.4747,6,5,12,4,521.578,6.60205999132796,7.66
NCCS(=O)(=O)N[C@@H](CNC(=O)c1ccc(OCCNC2=NCCCN2)cc1)C(=O)O,timbal,-1.9346,6,6,12,2,456.525,7.65169513695184,7.32
NC(=N)NCCC[C@@H]1NC(=O)CC(=O)N[C@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)CNC1=O,timbal,-2.05863,6,8,8,2,489.533,6.03621217265444,6.82
OC(=O)CC(CC1CCN(CC1)C(=O)CCc2ccc3CCCNc3n2)c4ccc5OCOc5c4,timbal,3.9882,6,3,8,5,479.577,8.95860731484177,6.57
COc1ccc(cn1)[C@@H](CCCCCCc2ccc3CCCNc3n2)CC(=O)O,timbal,4.5948,5,2,11,3,397.519,9.18708664335714,7.34
NC(=N)NC[C@@H]1NC(=O)N(CC(=O)NCC(NC(=O)OCc2ccccc2)C(=O)O)C1=O,timbal,-2.11433,7,8,10,2,449.424,4.82390874094432,6.2
OC(=O)C[C@H](NC(=O)CCCCc1ccc2CCCNc2n1)c3cnc4ccccc4c3,timbal,4.0329,5,3,9,4,432.524,8.97061622231479,8.44
OC(=O)C[C@H](NC(=O)CCCCc1ccc2CCCNc2n1)c3cccc(F)c3,timbal,3.6238,5,3,9,3,399.466,7.63827216398241,7.81
CS(=O)(=O)CCCC1(CCCC1)C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O,timbal,4.7428,6,3,11,3,569.507,8.74472749489669,7.04
c1cc(cc(c1)C(F)(F)F)c2csc(n2)n3c(c(cn3)C(=O)NCCCCN)C(F)(F)F,timbal,4.5021,3,2,7,3,477.434,4.73754891026957,4.81
CCCN(C(=O)CC(=O)O)C1=C(C)C[C@H](N([C@@H](C)c2ccc(N)cc2)C1=O)c3ccccc3,timbal,4.2907,4,4,8,3,449.551,7.14874165128092,6.35
CC1(C)C(CC(=O)O)C1c2ccc(OCCc3ccc4CCCNc4n3)cc2,timbal,4.2755,4,2,7,4,380.488,9.39794000867204,7.76
OC(=O)[C@H](Cc1ccc(NC(=O)c2c(Cl)cncc2Cl)cc1)\N=C\3/C(=O)C(=C3N4CCCCC4)O,timbal,3.169,6,3,7,4,517.369,8.07572071393812,7.26
CC(=O)N1CSC[C@@H]1C(=O)N\C(=C/c2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)\C(=O)O,timbal,3.1038,6,4,6,3,509.371,7.60205999132796,7.77
NC(=N)c1ccc(cc1)N2CCC3(CCN(CC3)C(=O)CCCCC(=O)O)C2=O,timbal,1.96117,4,4,7,3,400.479,5.46852108295774,5.87
NC(=N)NCCC(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)NCc2ccccc2,timbal,-0.48343,5,7,11,2,446.508,7.45593195564972,6.45
OC(=O)CCCC(=O)N1CCC2(CC1)CCN(CC2)c3ccncc3,timbal,2.5455,4,2,5,3,345.443,6.61978875828839,7.02
OC(=O)[C@H](Cc1ccc(cc1)N2C(=O)CCC2=O)NC(=O)[C@@H]3CCC(=O)N3Cc4ccccc4,timbal,1.6431,6,3,8,4,463.49,6.54363396687096,7.8
NC(=N)c1ccc(cc1)N2CC3(CCN(CC3)C(=O)CCCC(=O)O)CC2=O,timbal,1.57107,4,4,6,3,386.452,6.18045606445813,6.07
NCC(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,timbal,-3.6287,8,9,17,1,550.573,7.08092190762393,6.54
COc1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c3cc(Cl)cc(Cl)c3)C(=O)O)cc1,timbal,2.9672,6,2,8,3,501.388,6.44129142946683,7.57
Cc1ccccc1NC(=O)Nc2ccc(CC(=O)N3CCOC[C@H]3C(=O)N4CCC(CC(=O)O)CC4)cc2,timbal,3.12222,6,5,7,4,522.602,8.35654732351381,7.17
OC(=O)CC(Cc1csc(CCCc2ccc3CCCNc3n2)n1)c4cccc(F)c4,timbal,5.0116,5,2,9,4,439.556,6.25258819211358,7.36
CC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H]1CSSC[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC1=O)C(=O)O,timbal,-3.0556,9,9,10,2,632.722,5.88605664769316,7.6
CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5cc(OC(=O)N6CCN(CC6)C(=O)c7ccc(COC(=O)N[C@@H](CCC(=O)N8CCN(CC8)c9cccc(NC%10=NCCCN%10)c9)C(=O)O)cc7)ccc5nc34)C2=O,timbal,3.606,13,8,12,10,1025.089,6.45593195564972,7.8
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]2CSSC[C@H](NC(=O)CCNC2=O)C(=O)O,timbal,-0.7825,6,6,5,2,456.546,5.3767507096021,5.37
Cc1cc(F)ccc1Nc2oc3c(F)c(CC(=O)N4C[C@@H](F)C[C@H]4CO[C@@H]5CC[C@H](CC5)C(=O)O)ccc3n2,timbal,5.29952,8,3,8,5,545.558,7.92081875395238,7.74
CC(=O)N1CSC[C@H]1C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O,timbal,0.4255,5,4,5,2,338.385,3.58004425151024,5.52
CC(C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)C)C(=O)O,timbal,-4.038,9,9,17,0,544.566,7.92081875395238,7.33
OC(=O)C[C@@H](NC(=O)CNC(=O)c1cccc(NC2=NCCCN2)c1)c3cc(Cl)cc(Cl)c3O,timbal,2.5222,5,6,8,3,508.362,8.39794000867204,8.34
CC(C)[C@H]1NC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O,timbal,-2.1754,7,8,9,2,588.666,5.85387196432176,6.29
NCCOCCOCCOCC(=O)Nc1cc(C[C@H](NS(=O)(=O)c2cccc(c2)C(F)(F)F)C(=O)O)ccc1OCCCNc3ccc4CCCNc4n3,timbal,3.2607,10,6,23,4,782.839,7.60205999132796,9.15
Cc1cccc(NCCCCOc2ccc(C[C@H](NS(=O)(=O)c3cccc(c3)C(F)(F)F)C(=O)O)cc2N)n1,timbal,4.23632,6,4,13,3,566.602,8.76955107862173,7.7
OC(=O)[C@H](Cc1ccc(cc1)N2C(=O)CC(C2=O)c3ccc(O)cc3)NC(=O)[C@@H]4CCC(=O)N4Cc5ccccc5,timbal,2.7424,7,4,9,5,555.587,6.3767507096021,8.37
COc1ccc(cn1)[C@H](CC(=O)O)N2CCN(CCCc3ccc4CCC(O)Nc4n3)C2=O,timbal,2.0479,7,5,9,4,455.515,9.39794000867204,8.66
CC(=O)N[C@@H](CCCCN)C(=O)N1CCCC(C1)C(=O)NCCC(=O)O,timbal,-0.5504,5,5,10,1,370.45,6.46852108295774,5.85
OC(=O)C[C@H](Cc1csc(CCCCNc2cc(ccn2)N3CCOCC3)n1)c4ccc5OCOc5c4,timbal,4.3392,7,2,12,5,524.643,8.80687540164554,8.14
COc1ccc(cn1)C(CC(=O)O)Cc2csc(CCCCNc3cc(ccn3)N4CCOCC4)n2,timbal,4.0141,7,2,13,4,511.648,8.45099673797421,7.98
COc1cccc(OC)c1c2ccc(CC(Nc3ccccc3)C(=O)O)cc2,timbal,4.4786,4,2,8,3,377.44,5.05207638016827,6.38
NC(=N)NCCCNC(=O)C1CCC(=O)N2CC(CCC(=O)O)C2C1,timbal,-0.53233,4,6,8,2,353.423,2.88605664769316,5.43
NC(=N)c1ccc(COc2ccc3C(=O)N(CC(=O)O)CCCc3c2)cc1,timbal,2.02267,4,4,6,3,367.405,6.22184874961636,7.08
COc1ccccc1c2ccc(C[C@H](NC(=O)[C@@H]3[C@@H](O)CCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4)C(=O)O)cc2,timbal,3.605,7,3,9,4,593.485,7.27572413039921,8.64
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]2CSSC[C@H](NC(=O)c3cccc(NC2=O)c3)C(=O)N,timbal,0.3642,5,6,5,3,503.606,4.92081875395238,6.53
OC(=O)CC1COc2ccc(NC(=O)c3ccc(cc3)C(=N)N4CCOCC4)cc2C1,timbal,2.62227,5,4,5,4,423.469,10.0087739243075,8.31
